ETH (fee), USD, date, tx
0.005919927, $21.17, Mint ID=1, 0xd0a67ea5439b838583c9dd5757fa6411cfadf1b784ee4d1719d5bbf0b7a2d283
0.0063000168, $22.58, GovURI, 0x68c0f3cccab47ea94770bdc90477d860d67fbbb295f85b4c1ce9ddd8e263dd43
0.001814360, $6.50, GovURI, 0xc9b75566e0df682dfa7884c38deb068244e238444f2309d0a839359ad72adba5
0.002359552, $8.46, BaseURI, 0x1c95c655ead14f53ddfa1ee7cccdcd51ea9bf7b3e9ab59d776790d9890b81b83
0.004651919, $16.66, Mint ID=2, 0xa7e7b6bf9f85c7158ff257a03e3ee35e1b578952b5add783440498ca6ce3d5b2
0.004453425, $15.93, Mint ID=3, 0x6846e9ddb7f348fe9cc93c2ea2b0c007a0b99493293b2b98eabb6598c0699243
0.004453965, $15.94, Mint ID=3, 0xa37a1b9cefddce20f290324a5f3ecf375ee49438edb1c9bbdca4078abea7c5f8
0.004453965, $15.93, Mint ID=4, 
0.004453965, $15.94, Mint ID=5, 
0.004453425, $15.94, Mint ID=6, 
0.004453965, $15.95, Mint ID=7, 
0.004552390, $16.30, Mint ID=8, 
0.004354988, $15.59, Mint ID=9, 
0.004354988, $15.57, Mint ID=10, 
GovURI,
GovURI,
GovURI,
GovURI,
GovURI,
GovURI,
GovURI,
GovURI,
GovURI,
0.001153945, $4.13, TransferGov, 0x806d1a621f2230ca83ba28a6e127382ea069fe1c8deba4ddf9f4aa4427fefb4f

  
